term|english
བདག་གཞན་བདེ་སྡུག་རྗེས་ཤིག་|give up your happiness in exchange for others' suffering!
བདག་གཞན་གཉིས་ཀ་ལས་སྐྱེ་བ་|arising from both itself and from something other
བདག་གཞན་གཉིས་མེད་|nonduality of self and others
བདག་གཞན་གཉིས་མེད་པ་|without the duality of self and others
བདག་གཞན་མཉམ་བརྗེས་བསྒོམས་པ་|training in first equating yourself with others, then exchanging yourself for them
བདག་གཞན་མཉམ་བརྗེ་|to equalize and exchange oneself with others; sameness and exchange of oneself and others
བདག་གཞན་|oneself and others, yourself and others. 2) itself and something else / other
བདག་གཟུང་བྱེད་|Syn {bdag gir byed}
བདག་འཇུག་|self-initiation, self-entry, self-empowerment, ritual of self-initiation
བདག་ལ་འདོད་པ་གང་ཡང་མེད་|I do not want anything in return
བདག་ལས་མ་ཡིན་|not from itself
བདག་ལས་མི་སྐྱེ་|does not arise from itself
བདག་ལས་|[produced] from itself
བདག་ལས་སྐྱེ་བ་|arising from itself; Def. by Jamgön Kongtrül: {zhes pa'i don ni/ dngos po rnams rgyu'i dus na yod pa kho na skye'i med pa ni mi skye ste/ dper na/ til la til mar snga nas yod pa'i rgyu mtshan gyis til mar 'byung ba yin la/ bye ma la til mar sngar nas med pa'i rgyu mtshan gyis mi 'byung ba bzhin no/ /zhes 'dod}
བདག་ལྟ་|belief in a self. Syn {bdag tu lta ba}
བདག་ལྟ་བཞི་|fourfold view of self [in Madhyamaka]
བདག་མེད་|Selflessness. The innate absence of a self-entity in both the individual person as well as in matter and mind
བདག་མེད་བཏང་སྙོམས་|pleasure, pain and indifference; pleasant, painful and indifferent, neutral
བདག་མེད་དངོས་པོ་ཉིད་|the very _substance_ of the sugatas
བདག་མེད་དོན་རྣམ་གཉིས་|two meanings devoid of self
བདག་མེད་གི་དོན་རྣམ་གཉིས་|the two natures of selflessness. {gang zag gi bdag med}, {chos kyi bdag med}
བདག་མེད་གནས་|_the higher realms._; the higher realms
བདག་མེད་གཉིས་ཀ་|the two types of egolessness
བདག་མེད་གཉིས་རྟོགས་ཀྱི་མཁྱེན་པ་|the knowledge of realizing the twofold identitylessness
བདག་མེད་གཉིས་རྟོགས་|realization of the two types of egolessness
བདག་མེད་གཉིས་|Twofold selflessness. The inherent absence of a self-entity in the individual person as well as in all phenomena
བདག་མེད་གསུམ་|the three aspects of sugata-essence, {gzhi dus kyi rang bzhin rnam dag}, the natural purity at the time of the ground. {'bras dus kyi glo bur bral dag}, the purity of freedom from momentary [stains] at the time of fruition. {lam dus kyi dag la ma dag}, the partial purity at the time of the path]; the three aspects of sugata-essence, [gzhi dus kyi rang bzhin rnam dag, the natural purity at the time of the ground; 'bras dus kyi glo bur bral dag, the purity of freedom from momentary [stains] at the time of fruition; lam dus kyi dag la ma dag, the partial purity at the time of the path]
བདག་མེད་ཀྱི་དོན་རྣམ་གཉིས་|twofold absence of identity; twofold meanings devoid of the concept of self: selflessness of individuals {gang zag gi bdag med} and selflessness of phenomena {chos kyi bdag med}
བདག་མེད་ཀྱི་ངོ་བོ་ཉིད་མེད་པ་|devoid of a truly existent entity
བདག་མེད་ཀྱི་ཤེས་པ་|knowledge of egolessness / absence of identity
བདག་མེད་ལ་བདག་འཛིན་པ་|belief in / grasping at a 'self' where there is no 'self'
བདག་མེད་ལ་ངེས་པ་མི་སྐྱེ་བ་|does not have certainty in egolessness
བདག་མེད་ལ་ངེས་པ་སྐྱེས་པ་|gained certainty in egolessness
བདག་མེད་ལྷ་མོ་|Nairatmya Devi, [consort of Hevajra]
བདག་མེད་ལྔ་|the five nectars, amritas, [urine, excrement, blood, semen and brains]
བདག་མེད་མ་|Dagmema, Marpa's wife
བདག་མེད་མ་ལྷ་མོ་|Nairatmya Devi; goddess of non-ego. The consort of Hevajra
བདག་མེད་མཆོག་གི་བདག་|the supreme identity of identitylessness
བདག་མེད་ངོ་བོ་|lacking substance
བདག་མེད་པ་བདག་|[apprehending] the nonself as self
བདག་མེད་པ་གཉིས་ཀ་རྟོགས་པ་|realization of the two types of egolessness
བདག་མེད་པ་གཉིས་|the two types of absence of a self-entity
བདག་མེད་པའི་དེ་ཁོ་ན་ཉིད་|the reality of identitylessness
བདག་མེད་པ་|nonexistence of the self of the individual personality and/ or self-nature of phenomena; lack of self-nature of its own in phenomena
བདག་མེད་པའི་དོན་|the fact of egolessness
བདག་མེད་པའི་འདུ་ཤེས་|non-self, conception of
བདག་མེད་པ་མཆོག་གི་བདག་ཉིད་|the supreme identity of identitylessness
བདག་མེད་པ་མངོན་པར་རྟོགས་པ་|true realization of egolessness
བདག་མེད་པ་ཉིད་|egolessness, identitylessness, nonexistence of a self
བདག་མེད་པར་|selflessness
བདག་མེད་པར་སྨྲ་བ་|proponent of egolessness
བདག་མེད་ཕྲ་རགས་|subtle and obvious egolessness
བདག་མེད་ཕྱེད་དང་གཉིས་|_one and a half no-self._ {gang zag gi bdag med} + {chos bdag gi phyed}; gang zag gi bdag med
བདག་མེད་རྣལ་འབྱོར་མ་|{bdag med rnal 'byor ma} [consort of Hevajra[R], egoless yogini
བདག་མེད་རྣམ་པ་བཅུ་དྲུག་|sixteen aspects of the four [noble] truths
བདག་མེད་རྟོགས་པའི་ཤེས་རབ་|transcendent knowledge realizing the nonexistence of self, the prajna that realizes nonself
བདག་མེད་སྨྲ་བ་|proponent of egolessness
བདག་མོ་|a great lady {da lta singa la'i bdag mo mu tig 'khri shing du skyes pa yin} she now has been born as Muktalata, a great lady of Sri Lanka
བདག་ཉིད་|yourself; x {rigs kyi bu khyod kyis bdag nyid la nad pa'i 'du shes bskyed par bya'o} noble one, you should think of yourself as someone who is sick
བདག་ཉིད་ཅན་|1) to be the epitome/ embodiment of ...; appear as; include, incorporate, embody. 2) great being, entity; personification, master
བདག་ཉིད་ཆེ་|{bdag nyid chen po} great being
བདག་ཉིད་ཆེན་མོ་|[4]
བདག་ཉིད་ཆེན་པོ་|Mahatma. One of noble nature, exceedingly wise, etc
བདག་ཉིད་ཆེན་པོ་རྣམས་|Great Beings
བདག་ཉིད་གཅིག་འབྲེལ་|relationship of single identity
བདག་ཉིད་གཅིག་|identity of being [ggd]
བདག་ཉིད་གཅིག་པའི་མ་རིག་པ་|single nature ignorance; ignorance of single identity
བདག་ཉིད་གཅིག་པ་|the same essence
བདག་ཉིད་གཅིག་པུའི་མ་རིག་པ་|ignorance of single identity, the ignorance of individual selfhood
བདག་ཉིད་ཇི་བཞིན་དུ་|taken in due order
བདག་ཉིད་ཀྱང་བསོད་པར་བྱེད་|bdag nyid kyi dgongs pa
བདག་ཉིད་ཀྱི་ཕྱིར་|for oneself
བདག་ཉིད་ཀྱིས་|by me, by oneself
བདག་ཉིད་རྟོགས་པ་|self enlightenment
བདག་ཉིད་ཞེན་པས་འཆིང་བ་|are bound by their fixations on self-identity
བདག་ཉིས་གཅིག་པའི་མ་རིག་པ་|single nature ignorance
བདག་པ་|{bdag pa, bdag pa, bdag pa} intr. v.; to fumigate, burn incense, swing the censer, 2) the burning of incense, perfume, frankincense; 3) a spouse
བདག་པས་གཞན་གཅེས་ཀྱི་བློ་|to hold others dearer than oneself / yourself
བདག་པས་གཞན་གཅེས་|that others were dearer than myself; to treat others as more important than oneself, cherish others more than oneself
བདག་པོ་|the king
བདག་པོའི་འབྲས་བུ་|ruling / dominant / controlling result, {'bras bu lnga}; ruling effect
བདག་པོའི་རྐྱེན་|dominant condition, ruling condition, controlling condition. Syn {bdag rkyen}
བདག་པོ་མ་རྒྱབ་པ་|to disown, abandon
བདག་པོ་མེད་པ་|abandoned, deserted, forsaken, ownerless
བདག་པོ་རྒྱག་|Syn {bdag po sprod}
བདག་པོ་རྐྱེན་|decisive condition, possessive condition
བདག་པོ་སྤྲོད་|1) to keep, take care of, look after, pay attention to. 2) to watch, control
བདག་རང་དབང་ཅན་|self-contained self-entity
བདག་རྒྱུད་བྱིན་གྱི་རློབས་|may they bless me
བདག་རྒྱུད་|one's own mind; myself, my mind-stream, my stream of being
བདག་རྐྱེན་|empowering condition [ggd]
བདག་རྨོངས་པའི་ཁར་སྡིག་ཅན་གྲོགས་ཀྱི་ཁ་ལ་ཉན་|I have listened to evil friends and been deceived by them
བདག་རྟག་པ་གཅིག་པུ་རང་དབང་ཅན་|the permanent, singular and self-contained self-entity
བདག་རྟག་པར་ལྟ་བ་|to view self-identities as permanent
བདག་རྟོག་|concepts of self-identity
བདག་སྒྲ་|possessing word such as {can, ldan, pa, po, ma, mo} as in {btags pa pa}; possessing word such as {can}, {ldan}, pa, po, ma, mo. as in {btags pa pa}
བདག་ཤེས་རིག་གི་སྐྱེས་བུ་|CM: grangs can pas 'dod pa'i bdag ste shes bya nyer lnga'i ya gyal zhig, the self asserted by the Samkhya, one of the 25 objects of knowledge [of the Samkhya system]. [mss]
བདག་སྐྱབས་དང་བྲལ་ལོ་ཞེས་|I have no one to save me!
བདག་སྐྱེ་|production from self [Samkhya view]
བདག་སྨྲ་|Abbr. of {bdag tu smra ba}
བདག་སྣང་|subjective/ self-induced appearance/ apparent phenomenon/ manifestation
བདག་སྙིང་འདི་རྗེན་ཟས་|to eat one's heart out
བདག་སོགས་|I and others
བདག་ཚུར་མཐོང་|ego-fixated
བདག་ཏུ་བཟུང་བ་|to fixate on a self; take ownership of, personal possessions
བདག་ཏུ་འཛིན་པ་|conception of self
བདག་ཏུ་ལྟ་བ་|1) self-oriented view, belief in [the existence of] a self-entity, the belief in ego; the point of view that there is ego; self-oriented view, belief in [the existence of] a self-entity; 2) to hold the belief in a self; view in terms of an individual self and/ or a self-nature to phenomena
བདག་ཏུ་ལྟ་བ་བཅུ་|ten types of self-oriented views, types of self-oriented views, ten; the ten self-oriented views
བདག་ཏུ་མ་བཟུང་བ་|undomesticated
བདག་ཏུ་རྟོག་པ་|ego-conception, _conceptualize as being a self- entity_
བདག་ཏུ་སྨྲ་བ་ཉེ་བར་ལེན་པ་|grasping of adhering to a self
བདག་ཏུ་ཞེན་པ་|to fixate upon the self of the individual personality and/ or self-nature of phenomena
བདག་ཡོད་|existence of a self
བདལ་བ་|pf. of {bdal ba}; ft. of {bdal ba}; {bdal ba, bdal ba, bdal ba, bdol} trans. v
བདམ་པ་|ft. of {'dam pa}
བདམས་པ་|pf. of {'dam pa}
བདང་དགོང་|last night, evening
བདར་བ་|to rub, to file, to polish, to grind, to whet; pf. of {bdar ba}; ft. of {bdar ba}; {bdar ba, bdar ba, bdar ba, bdor} trans. v
བདར་|filings, shavings; to grind, to powder, file
བདར་ཤ་བཅད་|{brdar sha bcad}
བདར་ཤ་ཆོད་|Syn {brdar sha chod}
བདར་ཤ་ལེགས་པར་བཅད་|to become fully resolved about
བདས་པ་|pf. of {'ded pa}; ft. of {gdas pa}
བདས་|p. of {bda'}; moved
བདའ་|Syn {'ded}
བདེ་|adj. comp. of {bde po} ease, happiness, pleasure, bliss, well-being, enjoyment, peace, easy, convenient, well, comfortable; happiness, pleasure, bliss, well-being, enjoyment, peace; easy, convenient, well, comfortable; ease
བདེ་བ་|sukha 1) pleasure, bliss, happiness, well-being, peace, delight, comfort, pleasurable sensation, felicity. 2) easy to ..., easy, convenient; easily; 3) at peace, ease, healthy, comfortable happy, pleasant, well, enjoy peace, composed
བདེ་བ་ཅན་|the Blissful Realm / Buddhafield
བདེ་བ་ཅན་དུ་སྨོན་ལམ་འདེབས་པ་|to make aspirations for [rebirth] in the Blissful Realm
བདེ་བ་ཅན་གྱི་ཞིང་ཁམས་|the Blissful Realm, Sukhavati
བདེ་བ་ཅན་ལྷ་ཁང་|Sukhavati Temple, at Yama Tashikhyil in Domey
བདེ་བ་ཅན་སྨོན་ལམ་|Prayer for taking rebirth in Sukhavati, by Karma Chagmey Raga Asya
བདེ་བ་ཆེན་པོ་|great bliss Skt. mahasukha
བདེ་བ་ཆེན་པོའི་འོད་ཟེར་|the light rays of great bliss
བདེ་བ་ཆེན་པོའི་སྐུ་|Mahasukhakaya. Of the five kayas, the 'body of great bliss.'
བདེ་བ་ཆེན་པོའི་ཏིང་ངེ་འཛིན་|samadhi of great bliss
བདེ་བ་དང་ལྡན་པ་|endowed with happiness
བདེ་བ་དང་སྡུག་བསྔལ་གྱི་མྱོང་བ་|pleasure and pain to be experienced
བདེ་བ་དང་སྡུག་བསྔལ་|pleasure and pain. one of the {'jig rten gyi chos brgyad} the eight worldly dharmas
བདེ་བའི་དངོས་པོ་|every kind and source of happiness you have
བདེ་བའི་གླུ་|song of joy
བདེ་བའི་ལམ་དུ་|peacefully
བདེ་བའི་ཉམས་|{bde nyams} bliss experience, experience of pleasurable sensation; temporary experience of bliss, one of the three {nyams}
བདེ་བའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་|transcendent bliss
བདེ་བའི་རྡོ་རྗེ་|gter ston
བདེ་བའི་རྒྱུ་|cause of happiness
བདེ་བའི་རོ་|enchanting taste
བདེ་བ་ཁྲི་ལེར་འཆར་བ་|to experience sheer bliss
བདེ་བ་མྱོང་བྱེད་|that create pleasant experiences
བདེ་བ་མྱོང་འགྱུར་གྱི་ལས་|'actions that produce pleasant experiences' {bsam gtan gsum pa man chad du rnam smin bde ba myong ba'i rgyu byed pa'i dge ba'o} virtues which create the cause that ripens into pleasurable experiences [within the realms] up to and including the third dhyana
བདེ་བ་ནས་བདེ་བར་སོང་ཆོག་|I shall be going from one happiness to the next
བདེ་བ་ནི་རླུང་གསེབ་ཀྱི་མར་མེ་འདྲ་|Happiness is like a butter-lamp flickeringg in the wind
བདེ་བ་ཉམས་སུ་མྱོང་བ་|to experience bliss / happiness / pleasure
བདེ་བ་ཉེ་བར་སྒྲུབ་པའི་བསམ་པ་|the intent to gain happiness
བདེ་བ་ཕྲ་བཀོད་ཀྱི་ལུང་|Jewel Studded Bliss Scripture. One of the Eighteen Major Scriptures of the Mind Section of Dzogchen. Vol. KA of the Nyingma Gyübum
བདེ་བ་ཕུན་སུམ་ཚོགས་པ་|perfect happiness
བདེ་བ་རབ་འབྱམས་ཀྱི་ལུང་|All-encompassing Bliss Scripture. One of the Eighteen Major Scriptures of the Mind Section of Dzogchen
བདེ་བར་བྱོན་ལགས་སམ་|have you been well?
བདེ་བར་བཞུགས་|may you be well!, remain happy!
བདེ་བར་བཞུགས་པ་|to be well
བདེ་བར་གནས་སོ་|remained happy
བདེ་བར་གཤེགས་པ་|sugata/ one arrived at a state of bliss
བདེ་བར་གཤེགས་པའི་སྐུ་|the body of the Sugata
བདེ་བར་གཤེགས་པའི་སྙིང་པོ་|Sugatagarbha. 'Sugata essence.' The most common Sanskrit term for what in the West is known as 'buddha nature.'
བདེ་བར་གྱུར་པ་|joy
བདེ་བར་|in good cheer
བདེ་བར་མཛད་པ་|brought joy {'jig rten kun bde bar mdzad pa} brought joy to all the world
བདེ་བར་མྱོས་|intoxicates
བདེ་བར་ཕེབས་|may you travel happily
བདེ་བར་རོལ་པ་|were at play in the delights of love, took his pleasure; {thams cad la bde bar rol pa} took his pleasure with each and every one
བདེ་བར་སླེབས་|arrived safely
བདེ་བར་སླེབས་པ་|safely arrived
བདེ་བ་རུ་བཞུགས་དང་|may you remain well!
བདེ་བས་|convenient
བདེ་བ་སྐྱེད་པ་|bliss-producing
བདེ་བས་འཕོངས་པ་|deprived of happiness
བདེ་བདེ་ལྡན་ལྡན་|sure certain
བདེ་བླག་|with ease
བདེ་བླག་ཉིད་དུ་|bde sdug re dogs ro snyoms ngang ngo dag - purifying happiness and suffering and hopes and fears in the sphere of one-taste
བདེ་བླག་ཏུ་|easily, conveniently, with little effort, quickly
བདེ་བླག་ཏུ་ཐོབ་པ་མ་ཡིན་|not obtained easily
བདེ་བརྗོད་|verse of felicitation
བདེ་བྱེད་བརྩེགས་པ་|Enchanting Mound
བདེ་འབྱུང་|Shiva
བདེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་ལ་མཇུག་སྟེགས་འཆའ་ཞིང་འདུག་པ་|to use a stupa of the Sugatas as a resting place
བདེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་ངན་སེམས་ཀྱིས་ཁྲག་འབྱིན་པ་|to draw blood from a tathagata's body with evil intent
བདེ་ཆམ་མེ་བ་|serenely blissful; Thrangu Rinpoche: diffusive bliss, not very clear
བདེ་ཆེན་|great bliss, great happiness
བདེ་ཆེན་འབར་བའི་གདམས་པ་|the instruction in how to make the great bliss blaze forth
བདེ་ཆེན་འབར་|blazing great bliss
བདེ་ཆེན་བཟླས་པ་|great bliss recitation
བདེ་ཆེན་ཆོས་འཁོར་ཡོངས་འཛིན་འཇམ་དཔལ་དཔའ་བོ་|the 4th, 1720-1780
བདེ་ཆེན་ཆོས་འཁོར་ཡོངས་འཛིན་ངག་གི་དབང་པོ་|the 8th - alias {kun bzang rang byung rdo rje}
བདེ་ཆེན་ཆོས་འཁོར་ཡོངས་འཛིན་|the first, ngag dbang bzang po, 1546-1615; the second, kun dga' lhun grub, 1617-1676; the fourth, 1720-1780, alias 'jam dpal dpa' bo; the seventh, {'jam dpal shes bya kun mkhyen mi pham ye shes snang ba}
བདེ་ཆེན་ཆོས་འཁོར་ཡོངས་འཛིན་ཡེ་ཤེས་གྲུབ་པ་|the 5th - (1781-1845)
བདེ་ཆེན་ཆོས་སྒྲོན་|Sukha Dharma. Dechen Chödrön; consort of Chokgyur Lingpa
བདེ་ཆེན་དགོན་|Dechen Gönpa, in Domey
བདེ་ཆེན་དུང་ཁང་|bone-mansion of great bliss
བདེ་ཆེན་གི་འཁོར་ལོ་|bliss maintaining wheel, chakra, [fifth chakra, usually has 28 nadi-petals]
བདེ་ཆེན་གླིང་པ་|Pema Dechen Lingpa. Rongtön Pema Dechen Lingpa (17th century)
བདེ་ཆེན་གྱི་འཁོར་ལོ་|great bliss wheel, chakra
བདེ་ཆེན་འཁོར་ལོ་|the chakra of great bliss
བདེ་ཆེན་ཀུན་ནས་བདེ་|the greatest of great bliss
བདེ་ཆེན་ལམ་བཟང་|the excellent path og great bliss
བདེ་ཆེན་མཁའ་སྤྱོད་|celestial realms of great bliss, [five wrathful buddha-fields]
བདེ་ཆེན་པད་མ་ཆོས་སྡིངས་|monastery of the {bo dong} tradition in spo rong} western Tibet
བདེ་ཆེན་ཕུག་|Dechen Phuk, the Cave of Great Bliss, in Tsang
བདེ་ཆེན་རྫོང་|once seat of Kyisho Depa
བདེ་ཆེན་རྒྱལ་མོ་|Queen of Great Bliss
བདེ་ཆེན་རྒྱལ་པོ་|Dechen Gyalpo. One of the 12 manifestations of Guru Rinpoche
བདེ་ཆེན་རྒྱལ་པོ་རྩལ་|b. 1736 - Dechen Gyalpo Tsal, tertön. See Kunzang Dechen Gyalpo
བདེ་ཆེན་རླུང་བཟླས་|prana recitation of great bliss
བདེ་ཆེན་རོ་བརྒྱད་|the eightfold taste of great bliss
བདེ་ཆེན་རོལ་པ་|to play the great bliss
བདེ་ཆེན་སྨོན་ལམ་|aspiration for rebirth in Sukhavati written by {karma chags med} (17th cent)
བདེ་ཆེན་ཡེ་ཤེས་|wisdom of great bliss
བདེ་ཆེན་ཞིང་|realm of great bliss
བདེ་ཆེན་ཟུང་འཇུག་|union, unity of bliss and emptiness
བདེ་དང་མི་ལྡན་|unhappy
བདེ་དང་སྡུག་བསྔལ་|pleasure and pain
བདེ་དགའ་|joyful pleasure
བདེ་དགའ་ཡ་ལེ་བ་|bliss and joyfulness
བདེ་དགེ་དམ་པ་མི་ཟད་འབྱུང་གནས་|source of sublime never-ending well-being
བདེ་འདོད་པ་|who wishes happiness
བདེ་འདོད་|to desire happiness; pleasure-seeking
བདེ་དྲོད་|gtum mo'i bde drod - the bliss-warmth of tummo
བདེ་དྲོད་བྱུང་བ་|bliss-warmth blazed forth
བདེ་དྲོད་གཏུམ་མོ་|tummo's blissful warmth
བདེ་འདུས་|Assemblage of Sugatas; {bde gshegs 'dus pa}
བདེ་དུས་|when I was healthy
བདེ་འདུས་ཞི་རྒྱུད་|Tantra of the Assemblage of Peaceful Sugatas
བདེ་འགྲོ་གནས་|_the higher realms_
བདེ་འགྲོ་གསུམ་|three realms of good destiny
བདེ་འགྲོ་|Happy realm. good destiny
བདེ་འགྲོའི་གནས་|happy realms
བདེ་འགྲོ་མཐོ་རིས་|happy higher realms
བདེ་གསལ་མི་རྟོག་པ་|bliss, clarity, and nonthought. Three temporary meditation experiences. Fixation on them plants the seeds for rebirth in the three realms of samsara. Without fixation, they are adornments of the three kayas
བདེ་གསལ་མི་རྟོག་པའི་ཉམས་གསུམ་|three temporary experiences of bliss, clarity, and no-thought
བདེ་གསལ་མི་རྟོག་པའི་ཏིང་ངེ་འཛིན་|a samadhi with bliss, clarity, and nonthought
བདེ་གཤེགས་|sugata, [Buddha]. Sugatas
བདེ་གཤེགས་འདུས་པ་|Assemblage of Sugatas
བདེ་གཤེགས་འདུས་པའི་བཀའི་བྱུང་ཚུལ་|Historical Origin of the Teachings of the Assemblage of Sugatas
བདེ་གཤེགས་འདུས་པ་རྩ་བའི་རྒྱུད་|Root Tantra of the Assemblage of Sugatas. Tantra belonging to the Sadhana Section of Mahayoga found in Vol. OM and AH of the Nyingma Gyübum. See also Assemblage of Sugatas
བདེ་གཤེགས་རིགས་ལྔ་|Five families of sugatas. The five families or aspects of victorious ones; Vairochana, Akshobhya, Ratnasambhava, Amitabha, and Amoghasiddhi
བདེ་གཤེགས་སྙིང་པོ་|Tathagata garbha
བདེ་གཤེགས་སྙིང་པོ་སྒྲུབ་པ་བཀའ་བརྒྱད་|bde gshegs 'dus pa / - Eight Sadhana Teachings of Sugatagarbha [sic] the Assemblage of Sugatas
བདེ་གཤེགས་སྲས་པོ་|Sugatas' Offspring, sugata suta. Bodhisattva
བདེ་གཤེགས་ཞི་ཁྲོ་|the peaceful and wrathful sugatas
བདེ་ཀྱེ་གསང་གསུམ་|Cakrasamvara, Hevajra and Guhyasamaja
བདེ་ཀྱི་ལེ་བ་|utter bliss, [mode of {bde nyams}
བདེ་ཀྱི་ལེར་|blissful
བདེ་ལྡན་|heavens, having happiness
བདེ་ལྡན་མ་ཞེས་|by the name Ksemavati
བདེ་ལྡན་ཞིང་|Sukhavati, the Blissful Realm
བདེ་ལེགས་|1) goodness, happiness, well-being, welfare, auspiciousness, good fortune. 2) well, fine
བདེ་ལེགས་ཉི་མ་|pan chen, 16th cent
བདེ་ལེགས་ཤོག་|to you all happiness and fortune!
བདེ་ལྷག་ལྷག་|extremely joyful
བདེ་མཆོག་|Chakrasamvara
བདེ་མཆོག་གི་རྫོགས་རིམ་ལྔ་|the fivefold completion stage of Chakrasamvara
བདེ་མཆོག་འཁོར་ལོ་|Chakrasamvara
བདེ་མཆོག་ལྷ་བཅུ་གསུམ་མ་|the Thirteen Deities of Chakrasamvara's Mandala
བདེ་མཆོག་ལྷ་བཅུ་གསུམ་|Thirteen Deities of Chakrasamvara's Mandala
བདེ་མཆོག་ལྷ་ལྔ་|the five deity mandala of Chakrasamvara
བདེ་མཆོག་ལྷན་སྐྱེས་|innate Chakrasamvara
བདེ་མཆོག་ལཱུ་ཧི་པའི་ལུགས་ཀྱི་དཀྱིལ་ཆོག་|rnal 'byor gyi dbang phyug lu hi pa'i bzhed srol dpal 'khor lo bde mchog gi dkyil chog sin du'i klung chen khyu mchog kha 'babs - the method for the mandala and initiation of the l'uip'ada tradition of Chakrasamvara - by {ngor pa ngag dbang blo gros snying po gzhan phan mtha' yas pa'i 'od zer}
བདེ་མཆོག་ལུའི་ཡི་པ་|Chakrasamvara in the tradition of Luhipa
བདེ་མཆོག་མ་|{bya rdzi gsal le'i bu mo bde mchog ma} woman called Samvari, daughter of sale the chicken farmer; built the Boudha Stupa
བདེ་མཆོག་ཕོ་བྲང་|the palace of Chakrasamvara, on Kailash
བདེ་མཆོག་ཕྱག་གཉིས་པ་|Two-armed Chakrasamvara
བདེ་མཆོག་རྡོ་རྗེ་སེམས་དཔའ་|Chakrasamvara, the Vajra Being
བདེ་མཆོག་སངས་རྒྱས་མཉམ་སྦྱོར་|Samvara (Sarva)buddha Samayoga; terma revealed by Chokgyur Lingpa; belongs to the Sadhana Section of Mahayoga
བདེ་མཆོག་སྙན་བརྒྱུད་|the hearing lineage of Chakrasamvara. Syn {ras chung snyan brgyud}
བདེ་མཆོག་སྙིང་པོ་|Samvarasara; = Manjushrimitra
བདེ་མེ་རེ་|serenely blissful; Thrangu Rinpoche: diffusive bliss, not very clear
བདེ་མིན་སྡུག་མིན་མྱོང་འགྱུར་གྱི་ལས་|'actions that produce neither pleasant nor painful experiences' {bsam gtan gsum pa yan chad kyi khams gong ma myong 'gyur gyi las so} actions that produce experiences within the upper realms, above the third dhyana
བདེ་མོ་|peaceful
བདེ་མོར་|easily
བདེན་བྲལ་|untrue, wrong, false, inaccurate, incorrect, erroneous, fallacious, mistaken, off, unsound
བདེན་འབྲས་ཀྱིས་|as a result
བདེན་བཞི་མི་རྟག་བཅུ་དྲུག་|[TRS 39-6]
བདེན་བཞི་རྣམ་པ་བཅུ་དྲུག་|sixteen aspects of the four [noble] truths
བདེན་བཞི་|the four truths, {sdug bsngal}, suffering, {kun 'byung}, origin, {'gog pa}, cessation, {lam}, path]
བདེན་ཆུང་བཅུ་དྲུག་|sixteen minor truths: Suffering {sdug bsngal}, impermanence {mi rtag pa}, emptiness {stong pa}, selflessness {bdag med pa}, origin of suffering {kun 'byung ba}, production {rab tu skye ba}, causal basis {rgyu}, condition {rkyen}, cessation {'gog pa}, quiescence {zhi ba}, excellence {gya nom pa}, disillusionment with samsara {nges par 'byung ba}, path {lam}, reason {rigs pa}, attainment {sgrub pa}, and the act of becoming disillusioned with samsara {nges par 'byin ba}
བདེན་དགའ་|joy of truth
བདེན་དངོས་བཀག་པའི་སྟོང་ཉིད་|emptiness of refuting a true or concrete existence
བདེན་དོན་རྣམ་པ་བཅུ་གཉིས་|points of truth, twelvefold, twelve aspects of the meaning of the truth
བདེན་དོན་|the truth
བདེན་འཛིན་|taking, holding to be real; clinging to a reality; naive beliefs, taking, holding to be real, clinging to a reality
བདེན་འཛིན་ཀུན་བཏགས་|artificial conception of true existence
བདེན་འཛིན་ལྷན་སྐྱེས་|innate conception of true existence
བདེན་འཛིན་རགས་པ་|blatant grasping to the reality of ..
བདེན་གཉིས་དབྱེར་མེད་ལྷག་པའི་ཆོས་སྐུ་ཆེ་|the great supreme dharmakaya of the inseparable two truths
བདེན་གཉིས་ཀྱི་དབྱེ་གཞི་|Syn {shes bya}
བདེན་གཉིས་|the two truths, {kun rdzob} + {don dam}, relative and ultimate]. two realities
བདེན་གྲུབ་|true existence, _established as being real_. truly existent
བདེན་མེད་འཇའ་ཚོན་འདྲ་|as unsubstantial as rainbows
བདེན་མེད་|unreal, insubstantial; untrue; lacking/ to lack true existence; not truly existent
བདེན་མེད་མངོན་སུམ་དུ་རྟོགས་པའི་ཡེ་ཤེས་|the opposite of ignorance
བདེན་མེད་སྒྱུ་མ་ལྟ་བུ་|unreal like magic, illusion
བདེན་མཐའ་|MG: the truth; vi. - gsal, to see the truth. [mss]
བདེན་མཐོང་|insight into the truth, to realize the truth
བདེན་མཐུས་|by the power of truth
བདེན་ངེས་|{kho'i bsam par bcom ldan 'das kyis bshad pa de bden nges} Now he thought, _What the Buddha said is certainly the truth.
བདེན་པ་|to be true, true, truth; righteous; authentic, valid, genuine
བདེན་པ་བརྡར་|invoke the truth of
བདེན་པ་བཞི་|four truths: Mipham: {sdug bsngal gyi bden pa dang, kun 'byung gi bden pa dang, 'gog pa'i bden pa dang, lam gyi bden pa'o} the truth of suffering, the truth of origin, the truth of cessation, and the truth of path
བདེན་པ་བཞིའི་རྣམ་པ་བཅུ་དྲུག་|sixteen topics implied in the four noble truths, 16 aspects of the four truths
བདེན་པ་བཞིར་གསུངས་ཏེ་|four truths are taught
